,ALA,CEA,CWP,NEA,NEF,NPL,NWP,SEA,SPL,SWP,CAN,USA,USC
1972,-0.39,0.15,0.49,-0.44,-1.34,0.78,0.36,-0.08,-0.13,-0.5,-0.37,-0.1,-0.19
1972,-0.11,0.82,0.91,-0.42,0.34,0.45,0.97,0.1,0.26,-0.07,0.74,0.54,0.66
1972,0.21,0.6,1.1,0.54,0.01,0.56,1.45,0.41,0.99,-0.07,0.74,0.84,0.9
1972,-0.25,1.57,0.59,0.27,1.31,0.58,1.42,1.47,0.84,0.06,1.59,1.62,1.78
1972,0.57,1.7,1.29,0.19,1.82,0.79,2.88,1.21,1.16,1.25,2.69,2.17,2.59
1972,-0.09,0.91,1.54,0.3,2.19,1.02,2.05,0.21,1.81,0.35,2.63,1.1,2.04
1972,0.89,0.4,1.13,0.49,2.13,0.82,0.84,-0.05,0.0,1.02,2.43,1.13,1.98
1972,-0.26,1.71,0.78,-0.02,1.82,0.84,0.69,0.43,0.18,0.23,1.83,1.16,1.79
1972,-1.17,0.25,-0.55,-0.57,1.25,-0.13,-1.1,0.82,1.08,1.46,0.34,0.35,0.45
1972,0.27,1.82,0.2,-0.08,1.7,-0.37,0.28,1.19,0.6,0.98,1.09,1.96,1.9
1972,-0.19,1.62,0.48,0.49,1.52,-0.8,0.35,0.79,0.29,1.4,1.03,1.39,1.42
1973,0.08,1.38,0.73,1.28,1.69,-0.02,1.07,1.76,0.93,0.41,1.77,1.59,1.82
1973,-0.13,1.36,0.11,-0.06,2.11,-0.1,0.05,1.68,0.87,1.0,1.13,1.19,1.21
1973,0.84,1.71,-0.14,-0.75,2.72,1.02,0.35,1.85,1.77,-0.15,2.12,1.73,2.01
1973,-0.24,0.83,-2.12,0.4,1.45,0.97,-2.31,1.79,1.42,-1.5,0.34,0.64,0.6
1973,0.72,1.28,-1.47,-0.36,1.54,0.58,-0.26,0.46,-0.06,-0.65,1.33,0.77,1.16
1973,0.72,0.1,-1.18,-0.68,1.54,0.65,-0.53,-0.2,0.56,-0.39,1.07,0.05,0.54
1973,0.12,1.03,-1.66,0.05,1.72,0.68,-0.89,0.36,-0.27,-0.83,0.94,0.2,0.61
1973,-0.17,0.85,-1.76,-0.45,2.02,0.19,-1.38,0.91,0.77,-1.13,1.11,0.45,0.86
1973,-0.2,0.71,-1.45,0.57,1.25,1.12,-1.14,1.15,0.96,-1.82,0.65,0.02,0.36
1973,-0.31,0.36,-0.87,0.44,0.92,0.64,-0.5,1.36,1.69,-1.48,0.6,0.51,0.72
1973,-1.18,-1.49,0.81,0.21,-0.38,1.99,0.17,0.66,1.2,-1.06,0.16,-1.04,-0.69
1973,0.29,0.1,1.41,-1.54,0.48,0.16,1.02,0.14,0.0,-0.83,0.85,0.34,0.57
1974,-0.86,1.64,0.19,-0.37,0.89,0.03,-0.06,0.66,0.83,-0.28,0.44,0.78,0.75
1974,0.06,0.62,-0.14,0.51,0.12,0.99,-0.06,0.83,-0.08,-1.2,0.16,0.25,0.24
1974,0.03,-0.81,1.16,0.07,0.77,0.83,1.5,-0.16,0.69,0.33,1.36,-0.11,0.42
1974,0.64,-0.41,0.83,-0.02,1.12,0.74,1.43,0.08,1.44,0.3,1.64,0.23,0.8
1974,0.6,0.26,0.01,0.06,2.25,0.47,1.51,0.97,1.27,0.25,2.42,0.96,1.87
1974,0.63,0.79,0.63,-1.34,2.45,0.72,1.52,1.32,0.52,0.77,2.59,1.45,2.11
1974,-0.01,0.67,1.24,-0.46,1.88,0.75,2.01,0.79,-0.06,0.07,2.32,0.82,1.71
1974,-0.69,-0.44,-0.75,-0.92,1.14,0.54,-0.14,0.61,-0.04,-0.71,0.97,-0.71,-0.06
1974,-0.69,0.18,-0.98,-1.19,0.81,0.13,-0.88,1.34,-0.05,-0.19,0.16,-0.06,0.04
1974,0.08,-1.7,-2.3,-1.32,-0.42,0.67,-1.81,0.29,0.87,-0.72,-1.39,-1.25,-1.71
1974,0.29,-0.51,-0.71,-0.52,1.03,1.07,-0.63,-0.53,0.43,-0.95,0.35,-0.66,-0.33
1974,0.96,0.83,-0.56,0.06,1.61,0.02,-0.15,-0.07,-0.27,-1.24,0.85,0.46,0.66
