,Case Number,Date,Year,Type,Country,Sex,Age,Month,Year Month,Fatal==True
151,2017.09.20,9/20/2017,2017,Unprovoked,USA,M,,September,2017 September,False
152,2017.08.26.a,8/26/2017,2017,,NEW ZEALAND,M,,August,2017 August,False
153,2017.02.01.a,2/1/2017,2017,Unprovoked,BAHAMAS,M,37.0,February,2017 February,False
154,2016.09.00,9/1/2016,2016,,MEXICO,,,September,2016 September,False
155,2016.07.16.b,7/16/2016,2016,Unprovoked,USA,F,9.0,July,2016 July,False
156,2016.07.08.R,7/8/2016,2016,Unprovoked,SPAIN,F,10.0,July,2016 July,False
157,2016.06.11,6/11/2016,2016,Unprovoked,USA,M,19.0,June,2016 June,False
158,2016.06.07,6/7/2016,2016,,USA,M,27.0,June,2016 June,False
159,2016.03.04,3/4/2016,2016,Unprovoked,USA,M,12.0,March,2016 March,False
160,2015.11.03,11/3/2015,2015,Unprovoked,USA,M,54.0,November,2015 November,False
161,2015.10.25,10/25/2015,2015,Unprovoked,SOUTH AFRICA,M,42.0,October,2015 October,False
162,2015.09.26,9/26/2015,2015,Unprovoked,AUSTRALIA,F,7.0,September,2015 September,False
163,2015.04.12,4/12/2015,2015,Unprovoked,REUNION,M,13.0,April,2015 April,True
164,2014.12.29.b,12/29/2014,2014,Unprovoked,AUSTRALIA,,,December,2014 December,False
165,2014.07.03,7/3/2014,2014,Unprovoked,USA,M,19.0,July,2014 July,False
166,2013.12.13,12/13/2013,2013,Unprovoked,KIRIBATI,M,35.0,December,2013 December,False
167,2013.11.10,11/10/2013,2013,Provoked,BAHAMAS,M,77.0,November,2013 November,False
168,2013.11.07.a,11/7/2013,2013,Unprovoked,USA,M,,November,2013 November,False
169,2013.10.26.b,10/26/2013,2013,Unprovoked,REUNION,M,24.0,October,2013 October,False
170,2013.07.22,7/22/2013,2013,Unprovoked,BRAZIL,F,18.0,July,2013 July,True
171,2013.07.19,7/19/2013,2013,Unprovoked,USA,F,50.0,July,2013 July,False
172,2013.04.13.a,4/13/2013,2013,Unprovoked,GUAM,M,40.0,April,2013 April,True
173,2013.03.29,3/29/2013,2013,Unprovoked,SEYCHELLES,M,34.0,March,2013 March,False
174,2012.12.05,12/5/2012,2012,Unprovoked,USA,M,60.0,December,2012 December,False
175,2012.05.06,5/6/2012,2012,Unprovoked,USA,F,15.0,May,2012 May,False
176,2011.12.02,12/2/2011,2011,Unprovoked,AUSTRALIA,M,63.0,December,2011 December,False
177,2011.11.11,11/11/2011,2011,Unprovoked,REUNION,M,42.0,November,2011 November,False
178,2011.08.28.a,8/28/2011,2011,Unprovoked,USA,F,39.0,August,2011 August,False
179,2011.06.01,6/1/2011,2011,Unprovoked,MALAYSIA,F,,June,2011 June,False
180,2011.02.28.R,2/28/2011,2011,Provoked,AUSTRALIA,M,36.0,February,2011 February,False
181,2010.10.28.R,10/28/2010,2010,Unprovoked,AUSTRALIA,M,,October,2010 October,False
182,2010.01.09.b,1/9/2010,2010,Unprovoked,VIETNAM,M,,January,2010 January,False
183,2009.12.29,12/29/2009,2009,Unprovoked,SOUTH AFRICA,M,20.0,December,2009 December,False
184,2009.10.30,10/30/2009,2009,,AUSTRALIA,M,27.0,October,2009 October,False
185,2009.10.18,10/18/2009,2009,Unprovoked,PANAMA,F,10.0,October,2009 October,False
186,2009.09.26,9/26/2009,2009,Unprovoked,USA,M,,September,2009 September,False
187,2009.06.02.b,6/2/2009,2009,Unprovoked,EGYPT,M,,June,2009 June,False
188,2009.04.19,4/19/2009,2009,Unprovoked,USA,M,52.0,April,2009 April,False
189,2009.04.03,4/3/2009,2009,Unprovoked,USA,M,15.0,April,2009 April,False
190,2008.11.24,11/24/2008,2008,Unprovoked,ECUADOR,F,,November,2008 November,False
191,2008.07.27,7/27/2008,2008,Unprovoked,PANAMA,M,,July,2008 July,False
192,2008.06.02.R,6/2/2008,2008,,SCOTLAND,,,June,2008 June,False
193,2008.04.28.a,4/28/2008,2008,Unprovoked,USA,M,18.0,April,2008 April,False
194,2007.06.05,6/5/2007,2007,Unprovoked,AUSTRALIA,M,,June,2007 June,False
195,2007.05.10,5/10/2007,2007,Unprovoked,USA,F,21.0,May,2007 May,False
196,2007.03.31.a,3/31/2007,2007,Unprovoked,USA,M,9.0,March,2007 March,False
197,2007.01.19,1/19/2007,2007,,AUSTRALIA,M,20.0,January,2007 January,False
