,Case Number,Date,Year,Type,Country,Sex,Age,Month,Year Month,Fatal==True
3128,1985.09.28,9/28/1985,1985,Unprovoked,USA,M,,September,1985 September,False
3129,1985.08.22,8/22/1985,1985,Unprovoked,USA,M,87.0,August,1985 August,False
3130,1985.07.25.a,7/25/1985,1985,Unprovoked,USA,M,15.0,July,1985 July,False
3131,1984.10.21.b,10/21/1984,1984,,USA,M,22.0,October,1984 October,False
3132,1984.02.18,2/18/1984,1984,Provoked,SOUTH AFRICA,M,,February,1984 February,False
3133,1983.11.10.R,11/10/1983,1983,Unprovoked,USA,M,15.0,November,1983 November,False
3134,1983.05.24,5/24/1983,1983,Unprovoked,USA,M,15.0,May,1983 May,False
3135,1983.04.02.a,4/2/1983,1983,,SOUTH AFRICA,M,,April,1983 April,False
3136,1982.08.29.c,8/29/1982,1982,Unprovoked,JAPAN,M,,August,1982 August,True
3137,1982.07.24.a,7/24/1982,1982,Unprovoked,USA,M,26.0,July,1982 July,False
3138,1981.10.01,10/1/1981,1981,Unprovoked,USA,M,24.0,October,1981 October,False
3139,1981.08.10.a,8/10/1981,1981,Unprovoked,USA,F,19.0,August,1981 August,True
3140,1981.07.18,7/18/1981,1981,Unprovoked,SOUTH AFRICA,M,32.0,July,1981 July,False
3141,1981.02.02,2/2/1981,1981,Unprovoked,USA,M,15.0,February,1981 February,False
3142,1979.05.03,5/3/1979,1979,Unprovoked,SOUTH AFRICA,M,,May,1979 May,True
3143,1979.03.11,3/11/1979,1979,Unprovoked,USA,M,,March,1979 March,False
3144,1977.12.31,12/31/1977,1977,,USA,M,49.0,December,1977 December,False
3145,1974.09.00,9/1/1974,1974,Unprovoked,USA,M,24.0,September,1974 September,False
3146,1974.03.21,3/21/1974,1974,Unprovoked,SOUTH AFRICA,M,21.0,March,1974 March,False
3147,1973.12.19.R,12/18/1973,1973,Unprovoked,PHILIPPINES,M,19.0,December,1973 December,True
3148,1972.02.20,2/20/1972,1972,Unprovoked,AUSTRALIA,M,18.0,February,1972 February,False
3149,1970.12.13,12/13/1970,1970,Unprovoked,MOZAMBIQUE,M,20.0,December,1970 December,True
3150,1968.12.25,12/25/1968,1968,Unprovoked,NEW ZEALAND,M,17.0,December,1968 December,False
3151,1968.04.29,4/29/1968,1968,,USA,M,63.0,April,1968 April,False
3152,1966.09.08.b,9/8/1966,1966,Provoked,USA,M,14.0,September,1966 September,False
3153,1966.06.04,6/4/1966,1966,Unprovoked,USA,M,18.0,June,1966 June,False
3154,1965.09.21,9/21/1965,1965,Provoked,NEW GUINEA,M,,September,1965 September,False
3155,1964.12.10.a,12/10/1964,1964,,AUSTRALIA,,,December,1964 December,False
3156,1964.09.27,9/27/1964,1964,,NO COUNTRY REPORTED,M,24.0,September,1964 September,False
3157,1964.09.20,9/20/1964,1964,Unprovoked,TAIWAN,M,32.0,September,1964 September,True
3158,1964.07.08,7/8/1964,1964,Provoked,USA,M,,July,1964 July,False
3159,1964.05.08,5/8/1964,1964,Unprovoked,FIJI,M,35.0,May,1964 May,True
3160,1964.02.14.a,2/14/1964,1964,Unprovoked,FIJI,M,17.0,February,1964 February,True
3161,1964.02.08,2/8/1954,1964,Unprovoked,SOUTH AFRICA,M,25.0,February,1964 February,False
3162,1963.11.14,11/14/1963,1963,Provoked,AUSTRALIA,M,,November,1963 November,False
3163,1963.10.16,10/16/1963,1963,Unprovoked,USA,M,28.0,October,1963 October,False
3164,1963.04.17,4/17/1963,1963,Unprovoked,SOUTH AFRICA,M,15.0,April,1963 April,False
3165,1963.01.30,1/30/1963,1963,Unprovoked,FIJI,M,41.0,January,1963 January,False
3166,1962.10.25,10/25/1962,1962,Unprovoked,MEXICO,M,32.0,October,1962 October,True
3167,1962.10.14,10/14/1962,1962,,AUSTRALIA,M,,October,1962 October,False
3168,1962.06.07,6/7/1962,1962,,AUSTRALIA,,,June,1962 June,False
3169,1962.01.15,1/15/1962,1962,Unprovoked,NEW ZEALAND,M,44.0,January,1962 January,False
3170,1962.01.11.a,1/11/1962,1962,Unprovoked,NEW ZEALAND,F,54.0,January,1962 January,False
3171,1961.05.07,5/7/1961,1961,Provoked,AUSTRALIA,M,,May,1961 May,False
3172,1961.00.00.d,1/1/1961,1961,Unprovoked,NEW CALEDONIA,,,January,1961 January,False
3173,2020.09.29,9/29/2020,2020,Provoked,USA,M,,September,2020 September,False
3174,2020.05.26,5/26/2020,2020,Unprovoked,SPAIN,M,9.0,May,2020 May,False
3175,2019.05.25.a,5/25/2019,2019,Unprovoked,NEW CALEDONIA,M,10.0,May,2019 May,False
3176,2019.05.07,5/7/2019,2019,Unprovoked,USA,F,28.0,May,2019 May,False
3177,2018.09.20.b,9/20/2018,2018,,USA,F,,September,2018 September,False
3178,2018.09.01,9/1/2018,2018,Provoked,IRELAND,M,40.0,September,2018 September,False
3179,2018.06.08,6/8/2018,2018,Unprovoked,AUSTRALIA,M,,June,2018 June,False
3180,2017.11.02,11/2/2017,2017,Unprovoked,USA,M,25.0,November,2017 November,False
3181,2017.10.28,10/28/2017,2017,Unprovoked,AUSTRALIA,M,31.0,October,2017 October,False
3182,2017.09.24.b,9/24/2017,2017,,USA,M,33.0,September,2017 September,False
3183,2017.04.10.a,4/10/2017,2017,Unprovoked,USA,F,21.0,April,2017 April,False
3184,2017.03.09,3/9/2017,2017,Unprovoked,BAHAMAS,M,58.0,March,2017 March,False
3185,2016.12.06,12/6/2016,2016,Provoked,AUSTRALIA,M,20.0,December,2016 December,False
3186,2016.10.10,10/10/2016,2016,Unprovoked,USA,M,29.0,October,2016 October,False
3187,2016.09.15.R,9/15/2016,2016,,AUSTRALIA,,,September,2016 September,False
3188,2016.08.29.b,8/29/2016,2016,Unprovoked,USA,M,25.0,August,2016 August,False
3189,2016.07.29,7/29/2016,2016,Unprovoked,SPAIN,M,40.0,July,2016 July,False
3190,2016.07.28.R,7/28/2016,2016,Unprovoked,CHINA,M,72.0,July,2016 July,False
3191,2016.05.18,5/18/2016,2016,Unprovoked,USA,M,48.0,May,2016 May,False
3192,2016.03.10,3/10/2016,2016,Unprovoked,FIJI,M,45.0,March,2016 March,True
3193,2015.03.26,3/26/2015,2015,,SOUTH AFRICA,M,36.0,March,2015 March,False
3194,2014.11.29,11/29/2014,2014,Unprovoked,AUSTRALIA,M,13.0,November,2014 November,False
3195,2014.08.31,8/31/2014,2014,Unprovoked,USA,F,13.0,August,2014 August,False
3196,2014.08.12,8/12/2014,2014,Unprovoked,USA,M,,August,2014 August,False
3197,2014.08.01,8/1/2014,2014,Unprovoked,SOUTH AFRICA,M,20.0,August,2014 August,False
3198,2013.10.23,10/23/2013,2013,Unprovoked,USA,M,45.0,October,2013 October,False
3199,2013.08.13,8/13/2013,2013,Unprovoked,USA,F,19.0,August,2013 August,False
3200,2013.08.11,8/11/2013,2013,Unprovoked,USA,M,10.0,August,2013 August,False
3201,2013.06.16,6/16/2013,2013,Unprovoked,SOUTH AFRICA,M,,June,2013 June,False
3202,2013.06.14.R,6/14/2013,2013,Unprovoked,USA,F,10.0,June,2013 June,False
3203,2013.04.17,4/17/2013,2013,Unprovoked,USA,M,9.0,April,2013 April,False
3204,2013.02.09,2/9/2013,2013,Unprovoked,FRENCH POLYNESIA,M,48.0,February,2013 February,False
3205,2012.11.04.b,11/4/2012,2012,Unprovoked,USA,M,30.0,November,2012 November,False
3206,2012.06.14.d,6/14/2012,2012,Unprovoked,USA,F,18.0,June,2012 June,False
3207,2012.06.12,6/12/2012,2012,Unprovoked,AUSTRALIA,M,42.0,June,2012 June,False
3208,2012.06.03,6/3/2012,2012,Unprovoked,AUSTRALIA,M,30.0,June,2012 June,False
3209,2012.03.03,3/3/2012,2012,,SAUDI ARABIA,M,42.0,March,2012 March,False
3210,2011.11.12,11/12/2011,2011,Unprovoked,BRAZIL,M,35.0,November,2011 November,False
3211,2011.08.31,8/31/2011,2011,Unprovoked,USA,M,19.0,August,2011 August,False
3212,2011.02.17,2/17/2011,2011,Unprovoked,AUSTRALIA,M,49.0,February,2011 February,True
3213,2011.01.20,1/20/2011,2011,,AUSTRALIA,F,7.0,January,2011 January,False
3214,2010.12.26,12/26/2010,2010,Unprovoked,USA,M,16.0,December,2010 December,False
3215,2010.09.24,9/24/2010,2010,Unprovoked,USA,M,18.0,September,2010 September,False
3216,2010.05.18.b,5/18/2010,2010,Unprovoked,VIETNAM,F,60.0,May,2010 May,False
3217,2010.01.22.a,1/22/2010,2010,Unprovoked,AUSTRALIA,M,,January,2010 January,False
3218,2009.10.24,10/24/2009,2009,Unprovoked,USA,M,,October,2009 October,False
3219,2009.10.17,10/17/2009,2009,Provoked,SCOTLAND,M,23.0,October,2009 October,False
3220,2009.10.09,10/9/2009,2009,Unprovoked,USA,M,,October,2009 October,False
3221,2009.08.11,8/11/2009,2009,Unprovoked,SOUTH AFRICA,M,,August,2009 August,False
3222,2009.07.30,7/30/2009,2009,Unprovoked,AUSTRALIA,M,14.0,July,2009 July,False
3223,2009.04.25.R,4/25/2009,2009,Unprovoked,USA,M,,April,2009 April,False
3224,2009.03.18.a,3/18/2009,2009,Unprovoked,USA,F,17.0,March,2009 March,False
3225,2009.03.01.a,3/1/2009,2009,Unprovoked,AUSTRALIA,M,15.0,March,2009 March,False
3226,2008.07.30.R,7/30/2008,2008,Unprovoked,AUSTRALIA,M,31.0,July,2008 July,False
3227,2008.07.30,7/30/2008,2008,Unprovoked,SOUTH AFRICA,M,,July,2008 July,False
3228,2008.06.11,6/11/2008,2008,Unprovoked,BRAZIL,M,14.0,June,2008 June,False
3229,2008.05.01,5/1/2008,2008,Provoked,SOUTH AFRICA,M,24.0,May,2008 May,False
3230,2007.05.24,5/24/2007,2007,Provoked,USA,F,40.0,May,2007 May,False
3231,2007.01.14,1/14/2007,2007,Unprovoked,SOUTH AFRICA,M,24.0,January,2007 January,True
3232,2006.08.22.b,8/22/2006,2006,,BRAZIL,M,17.0,August,2006 August,False
3233,2006.06.24,6/24/2006,2006,Unprovoked,BAHAMAS,M,25.0,June,2006 June,False
3234,2006.05.19,5/19/2006,2006,Unprovoked,USA,F,35.0,May,2006 May,False
3235,2006.02.01.a,2/1/2006,2006,,USA,M,57.0,February,2006 February,False
3236,2005.07.22,7/22/2005,2005,,USA,M,25.0,July,2005 July,False
3237,2004.10.21,10/21/2004,2004,Unprovoked,AUSTRALIA,M,59.0,October,2004 October,False
3238,2004.08.29,8/29/2004,2004,Unprovoked,USA,F,38.0,August,2004 August,False
3239,2004.07.30,7/30/2004,2004,Unprovoked,RUSSIA,M,,July,2004 July,False
3240,2004.05.22.b,5/22/2004,2004,Unprovoked,USA,F,9.0,May,2004 May,False
3241,2004.03.31.b,3/31/2004,2004,Unprovoked,USA,M,26.0,March,2004 March,False
3242,2004.02.26,2/26/2004,2004,Unprovoked,NEW ZEALAND,M,15.0,February,2004 February,False
3243,2004.01.23,1/23/2004,2004,Unprovoked,URUGUAY,M,21.0,January,2004 January,False
3244,2004.01.21.a,1/21/2004,2004,Unprovoked,VENEZUELA,M,40.0,January,2004 January,False
3245,2004.01.12,1/12/2004,2004,Unprovoked,AUSTRALIA,M,,January,2004 January,False
3246,2003.10.05.e,10/5/2003,2003,Unprovoked,USA,F,,October,2003 October,False
3247,2003.04.23.b,4/23/2003,2003,Unprovoked,BRAZIL,M,17.0,April,2003 April,False
3248,2003.04.15,4/15/2003,2003,Unprovoked,USA,M,20.0,April,2003 April,False
3249,2002.12.16,12/16/2002,2002,Unprovoked,AUSTRALIA,M,23.0,December,2002 December,True
3250,2002.11.14,11/14/2002,2002,Unprovoked,TURKS & CAICOS,F,41.0,November,2002 November,False
3251,2002.07.26,7/26/2002,2002,Unprovoked,USA,M,13.0,July,2002 July,False
3252,2002.01.30.b,1/30/2002,2002,Unprovoked,AUSTRALIA,M,20.0,January,2002 January,False
3253,2001.09.13,9/13/2001,2001,Provoked,UNITED KINGDOM,M,,September,2001 September,False
3254,2001.04.13.a,4/13/2001,2001,Unprovoked,USA,M,12.0,April,2001 April,False
3255,2000.10.20,10/20/2000,2000,Unprovoked,USA,M,23.0,October,2000 October,False
3256,2000.09.10.b,9/10/2000,2000,Unprovoked,USA,M,8.0,September,2000 September,False
3257,2000.07.15.a,7/15/2000,2000,Unprovoked,SOUTH AFRICA,M,,July,2000 July,False
3258,2000.07.10,7/10/2000,2000,Unprovoked,USA,M,13.0,July,2000 July,False
3259,2000.07.02.b,7/2/2000,2000,Unprovoked,USA,F,13.0,July,2000 July,False
3260,2000.03.09,3/9/2000,2000,,AUSTRALIA,,,March,2000 March,False
3261,1999.12.02,12/2/1999,1999,Unprovoked,USA,M,35.0,December,1999 December,False
3262,1999.07.26,7/26/1999,1999,Unprovoked,USA,M,43.0,July,1999 July,False
3263,1999.07.15,7/15/1999,1999,Unprovoked,SOUTH AFRICA,M,14.0,July,1999 July,True
3264,1999.02.23,2/23/1999,1999,Unprovoked,AUSTRALIA,M,35.0,February,1999 February,False
3265,1998.10.10,10/10/1998,1998,Unprovoked,USA,M,,October,1998 October,False
3266,1998.05.16.b,5/16/1998,1998,Unprovoked,USA,M,24.0,May,1998 May,False
3267,1998.04.26,4/26/1998,1998,Unprovoked,MOZAMBIQUE,F,35.0,April,1998 April,True
3268,1998.01.28.a,1/1/1998,1998,Unprovoked,NEW CALEDONIA,M,,January,1998 January,False
3269,1997.01.03.a,1/3/1997,1997,Unprovoked,REUNION,M,,January,1997 January,True
3270,1996.12.00.b,12/1/1996,1996,Unprovoked,NEW CALEDONIA,M,,December,1996 December,True
3271,1996.06.04,6/4/1996,1996,Unprovoked,SOUTH AFRICA,M,,June,1996 June,False
3272,1996.04.25.b,4/25/1996,1996,Unprovoked,AUSTRALIA,M,11.0,April,1996 April,False
3273,1996.01.22,1/22/1996,1996,Unprovoked,AUSTRALIA,F,13.0,January,1996 January,False
3274,1995.09.03.a,9/3/1995,1995,,USA,M,9.0,September,1995 September,False
3275,1995.08.31.a,8/31/1995,1995,Unprovoked,USA,M,44.0,August,1995 August,False
3276,1995.08.22.c,8/22/1995,1995,Unprovoked,USA,M,23.0,August,1995 August,False
3277,1995.00.00.e,1/1/1995,1995,,SOUTH AFRICA,M,33.0,January,1995 January,False
3278,1994.12.13,12/13/1994,1994,Unprovoked,BRAZIL,M,,December,1994 December,False
3279,1994.04.15,4/15/1994,1994,Unprovoked,REUNION,,,April,1994 April,True
3280,1993.10.10,10/10/1993,1993,,USA,F,34.0,October,1993 October,False
3281,1992.01.29.b,1/29/1992,1992,Unprovoked,REUNION,M,,January,1992 January,False
3282,1992.01.29.a,1/29/1992,1992,Unprovoked,AUSTRALIA,M,19.0,January,1992 January,False
3283,1992.01.03,1/3/1992,1992,Unprovoked,JAPAN,M,,January,1992 January,False
3284,1989.10.22,10/22/1989,1989,Unprovoked,AUSTRALIA,M,17.0,October,1989 October,False
3285,1989.09.10,9/10/1989,1989,,USA,,,September,1989 September,False
3286,1989.04.23,4/23/1989,1989,Unprovoked,USA,M,19.0,April,1989 April,False
3287,1988.10.23,10/23/1988,1988,Unprovoked,USA,M,21.0,October,1988 October,False
3288,1988.02.12,2/12/1988,1988,,AUSTRALIA,,,February,1988 February,False
3289,1987.05.08,5/8/1987,1987,Unprovoked,USA,M,,May,1987 May,False
3290,1986.09.22.R,9/22/1986,1986,,USA,,,September,1986 September,False
3291,1984.07.24.b,7/24/1984,1984,Unprovoked,USA,F,13.0,July,1984 July,False
3292,1984.07.00.a,7/1/1984,1984,Unprovoked,SOUTH AFRICA,M,,July,1984 July,False
3293,1984.06.03,6/3/1984,1984,Unprovoked,VANUATU,M,25.0,June,1984 June,True
3294,1984.05.31,5/31/1984,1984,Unprovoked,SOUTH AFRICA,M,28.0,May,1984 May,False
3295,1984.02.17,2/17/1984,1984,Provoked,SOUTH AFRICA,M,33.0,February,1984 February,False
3296,1982.06.26.b,6/26/1982,1982,Unprovoked,USA,M,20.0,June,1982 June,False
3297,1980.11.24,11/24/1980,1980,Unprovoked,REUNION,M,22.0,November,1980 November,False
3298,1979.11.27,11/27/1979,1979,Unprovoked,USA,M,20.0,November,1979 November,False
3299,1979.03.24,3/24/1979,1979,Unprovoked,USA,M,27.0,March,1979 March,False
3300,1978.03.05,3/5/1978,1978,,SOUTH AFRICA,,,March,1978 March,False
3301,1977.08.14,8/14/1977,1977,Unprovoked,USA,M,20.0,August,1977 August,False
3302,1976.07.16,7/16/1976,1976,Unprovoked,USA,M,18.0,July,1976 July,True
3303,1975.10.12,10/12/1975,1975,Unprovoked,AUSTRALIA,M,20.0,October,1975 October,False
3304,1975.07.04,7/4/1975,1975,Unprovoked,USA,M,16.0,July,1975 July,False
3305,1974.09.01,9/1/1974,1974,,AUSTRALIA,M,30.0,September,1974 September,False
3306,1974.02.13.b,2/13/1974,1974,Unprovoked,SOUTH AFRICA,M,14.0,February,1974 February,False
3307,1973.03.05,3/5/1973,1973,Unprovoked,MOZAMBIQUE,M,28.0,March,1973 March,True
3308,1972.04.01.a,4/1/1972,1972,Unprovoked,MOZAMBIQUE,M,19.0,April,1972 April,True
3309,1972.00.00.a,1/1/1972,1972,Unprovoked,MARSHALL ISLANDS,M,,January,1972 January,False
3310,1969.00.00,,1969,Provoked,BAHAMAS,,,,1969 nan,False
3311,1968.08.21,8/21/1968,1968,Unprovoked,USA,M,15.0,August,1968 August,False
3312,1968.06.25,6/25/1968,1968,Unprovoked,BAHAMAS,M,17.0,June,1968 June,False
3313,1968.00.00.a,1/1/1968,1968,,USA,,,January,1968 January,False
3314,1967.12.14,12/14/1967,1967,Provoked,USA,M,,December,1967 December,False
3315,1967.08.00.a,8/1/1967,1967,Unprovoked,SENEGAL,M,,August,1967 August,False
3316,1967.03.19,3/19/1967,1967,Unprovoked,SOUTH AFRICA,M,32.0,March,1967 March,False
3317,1967.01.21,1/21/1967,1967,Unprovoked,MOZAMBIQUE,M,31.0,January,1967 January,False
3318,1966.01.15,1/15/1966,1966,Unprovoked,AUSTRALIA,M,30.0,January,1966 January,False
3319,1965.11.21.b,11/21/1965,1965,Provoked,AUSTRALIA,M,43.0,November,1965 November,True
3320,1965.01.10,1/10/1965,1965,Unprovoked,AUSTRALIA,M,,January,1965 January,False
3321,1964.12.09,12/9/1964,1964,Unprovoked,NEW GUINEA,M,28.0,December,1964 December,False
3322,1964.07.15,7/15/1964,1964,,USA,,,July,1964 July,False
3323,1964.06.17,6/17/1964,1964,,NEW GUINEA,M,,June,1964 June,False
3324,1964.03.28.a,3/28/1964,1964,,NEW GUINEA,M,32.0,March,1964 March,True
3325,1964.02.11,2/11/1964,1964,Unprovoked,NEW ZEALAND,M,,February,1964 February,False
3326,1963.02.24,2/24/1963,1963,Unprovoked,AUSTRALIA,M,18.0,February,1963 February,False
3327,1962.09.22,9/22/1962,1962,Unprovoked,MEXICO,M,20.0,September,1962 September,False
3328,1962.08.19,8/19/1962,1962,Unprovoked,USA,M,40.0,August,1962 August,True
3329,1961.04.25,4/25/1961,1961,Provoked,AUSTRALIA,M,,April,1961 April,False
3330,1961.04.16.b,4/16/1961,1961,Unprovoked,USA,M,22.0,April,1961 April,False
3331,1961.01.02.R,1/2/1961,1961,,AUSTRALIA,,,January,1961 January,False
3332,1961.00.00.a,1/1/1961,1961,,USA,,,January,1961 January,True
3333,2021.06.12,6/12/2021,2021,Provoked,UNITED KINGDOM,M,51.0,June,2021 June,False
3334,2020.12.23,12/23/2020,2020,Unprovoked,MALDIVES,M,40.0,December,2020 December,False
3335,2020.08.23,8/23/2020,2020,Unprovoked,USA,M,23.0,August,2020 August,False
3336,2019.10.21,10/21/2019,2019,Unprovoked,FRENCH POLYNESIA,F,35.0,October,2019 October,False
3337,2019.07.04,7/4/2019,2019,Unprovoked,BAHAMAS,M,32.0,July,2019 July,False
3338,2018.10.24,10/24/2018,2018,Unprovoked,AUSTRALIA,M,,October,2018 October,False
3339,2018.09.20.a,9/20/2018,2018,Unprovoked,AUSTRALIA,F,12.0,September,2018 September,False
3340,2018.08.15.c,8/15/2018,2018,Unprovoked,BAHAMAS,F,56.0,August,2018 August,False
3341,2018.05.13.a,5/13/2018,2018,,UNITED KINGDOM,M,21.0,May,2018 May,False
3342,2018.05.09,5/9/2018,2018,,AUSTRALIA,M,,May,2018 May,False
3343,2018.04.28.c,4/28/2018,2018,Provoked,USA,M,,April,2018 April,False
3344,2018.04.10.R,4/10/2018,2018,,BRAZIL,M,56.0,April,2018 April,False
3345,2018.04.05,4/5/2018,2018,Unprovoked,BAHAMAS,M,12.0,April,2018 April,False
3346,2017.10.09,10/9/2017,2017,Unprovoked,USA,M,54.0,October,2017 October,False
3347,2017.09.02.a,9/2/2017,2017,Unprovoked,USA,M,17.0,September,2017 September,False
3348,2017.08.01,8/1/2017,2017,,USA,M,,August,2017 August,False
3349,2017.05.06,5/5/2017,2017,Unprovoked,MEXICO,M,33.0,May,2017 May,True
3350,2017.04.20,4/20/2017,2017,,USA,M,,April,2017 April,False
3351,2017.04.05,4/5/2017,2017,Unprovoked,USA,F,51.0,April,2017 April,False
3352,2017.03.11,3/11/2017,2017,Unprovoked,PHILIPPINES,M,25.0,March,2017 March,False
3353,2016.10.24,10/24/2016,2016,Unprovoked,AUSTRALIA,M,36.0,October,2016 October,False
3354,2016.10.15,10/15/2016,2016,Unprovoked,AUSTRALIA,M,,October,2016 October,False
3355,2016.07.27,7/27/2016,2016,Provoked,USA,M,43.0,July,2016 July,False
3356,2016.07.06,7/6/2016,2016,Unprovoked,USA,F,42.0,July,2016 July,False
3357,2015.10.21,10/21/2015,2015,Unprovoked,USA,M,21.0,October,2015 October,False
3358,2015.09.19,9/19/2015,2015,,USA,M,,September,2015 September,False
3359,2015.05.15,5/15/2015,2015,Unprovoked,USA,M,30.0,May,2015 May,False
3360,2015.03.21,3/21/2015,2015,Unprovoked,EGYPT,M,52.0,March,2015 March,True
3361,2015.01.08,1/8/2015,2015,,USA,M,38.0,January,2015 January,False
3362,2014.10.05.b,10/5/2014,2014,Unprovoked,USA,M,29.0,October,2014 October,False
3363,2014.07.21,7/21/2014,2014,Unprovoked,USA,M,8.0,July,2014 July,False
3364,2014.05.10.R,5/10/2014,2014,,USA,M,,May,2014 May,False
3365,2014.04.24,4/24/2014,2014,Unprovoked,AUSTRALIA,M,,April,2014 April,False
3366,2014.02.17,2/17/2014,2014,,NEW GUINEA,M,21.0,February,2014 February,False
3367,2013.09.14,9/14/2013,2013,Unprovoked,USA,M,21.0,September,2013 September,False
3368,2013.04.10,4/10/2013,2013,Unprovoked,FRENCH POLYNESIA,M,53.0,April,2013 April,False
3369,2012.09.06.b,9/6/2012,2012,Unprovoked,USA,M,35.0,September,2012 September,False
3370,2012.08.31,8/31/2012,2012,Provoked,SCOTLAND,M,53.0,August,2012 August,False
3371,2012.02.06,2/6/2012,2012,Unprovoked,AUSTRALIA,M,29.0,February,2012 February,False
3372,2012.01.19,1/19/2012,2012,Unprovoked,AUSTRALIA,M,26.0,January,2012 January,False
3373,2011.10.05,10/5/2011,2011,,REUNION,M,51.0,October,2011 October,False
3374,2011.08.18,8/18/2011,2011,Unprovoked,RUSSIA,M,16.0,August,2011 August,False
3375,2011.06.24,6/24/2011,2011,Unprovoked,USA,M,,June,2011 June,False
3376,2011.06.06.b,6/6/2011,2011,Unprovoked,USA,M,28.0,June,2011 June,False
3377,2011.04.12,4/13/2011,2011,Unprovoked,INDONESIA,M,,April,2011 April,False
3378,2011.02.13,2/13/2011,2011,Provoked,AUSTRALIA,M,,February,2011 February,False
3379,2010.11.15,11/15/2010,2010,Unprovoked,DOMINICAN REPUBLIC,M,21.0,November,2010 November,True
3380,2010.10.02.a,10/2/2010,2010,Unprovoked,BAHAMAS,F,,October,2010 October,False
3381,2010.02.06.b,2/6/2010,2010,Unprovoked,AUSTRALIA,M,18.0,February,2010 February,False
3382,2010.01.12,1/12/2010,2010,Unprovoked,SOUTH AFRICA,M,37.0,January,2010 January,True
3383,2009.10.28,10/28/2009,2009,Unprovoked,AUSTRALIA,F,17.0,October,2009 October,False
3384,2009.08.06,8/6/2009,2009,Unprovoked,USA,M,,August,2009 August,False
3385,2009.06.27,6/27/2009,2009,Unprovoked,AUSTRALIA,M,52.0,June,2009 June,False
3386,2009.02.11,2/11/2009,2009,Unprovoked,AUSTRALIA,M,31.0,February,2009 February,False
3387,2009.02.07.a,2/7/2009,2009,Unprovoked,AUSTRALIA,M,,February,2009 February,False
3388,2008.10.11,10/11/2008,2008,Unprovoked,AUSTRALIA,M,15.0,October,2008 October,False
3389,2008.09.07,9/7/2008,2008,Unprovoked,AUSTRALIA,M,51.0,September,2008 September,False
3390,2008.08.12,8/12/2008,2008,Unprovoked,USA,F,13.0,August,2008 August,False
3391,2008.07.11,7/11/2008,2008,Unprovoked,USA,M,24.0,July,2008 July,False
3392,2008.06.24,6/24/2008,2008,Unprovoked,BRAZIL,M,,June,2008 June,False
3393,2008.02.24,2/24/2008,2008,Unprovoked,BAHAMAS,M,49.0,February,2008 February,True
3394,2008.01.14,1/14/2008,2008,,NEW ZEALAND,,,January,2008 January,False
3395,2007.10.15,10/15/2007,2007,Unprovoked,AUSTRALIA,F,52.0,October,2007 October,False
3396,2007.09.13,9/13/2007,2007,Unprovoked,USA,M,14.0,September,2007 September,False
3397,2007.09.03.b,9/3/2007,2007,Unprovoked,USA,F,12.0,September,2007 September,False
3398,2007.06.25,6/25/2007,2007,Unprovoked,USA,M,20.0,June,2007 June,False
3399,2007.00.00,1/1/2007,2007,Provoked,FRENCH POLYNESIA,M,,January,2007 January,False
3400,2006.07.31.a,7/31/2006,2006,Unprovoked,USA,M,41.0,July,2006 July,False
3401,2006.06.20,6/20/2006,2006,Unprovoked,USA,F,22.0,June,2006 June,False
3402,2006.05.24,5/24/2006,2006,Provoked,USA,M,15.0,May,2006 May,False
3403,2006.04.13,4/13/2006,2006,Provoked,USA,M,35.0,April,2006 April,False
3404,2006.03.28.R,3/28/2006,2006,Unprovoked,SIERRA LEONE,M,,March,2006 March,True
3405,2005.11.20,11/20/2005,2005,Unprovoked,USA,M,17.0,November,2005 November,False
3406,2005.06.07,6/7/2005,2005,Unprovoked,USA,F,11.0,June,2005 June,False
3407,2005.04.07,4/7/2005,2005,Unprovoked,USA,M,37.0,April,2005 April,False
3408,2005.01.20,1/20/2005,2005,Unprovoked,CUBA,M,19.0,January,2005 January,False
3409,2004.10.31,10/31/2004,2004,Unprovoked,CUBA,M,40.0,October,2004 October,False
3410,2003.10.05.c,10/5/2003,2003,Provoked,USA,M,30.0,October,2003 October,False
3411,2003.07.00.b,,2003,Unprovoked,FRENCH POLYNESIA,M,,,2003 nan,False
3412,2002.07.09.a,7/10/2002,2002,Unprovoked,BRAZIL,M,22.0,July,2002 July,False
3413,2002.06.09.b,6/9/2002,2002,Unprovoked,USA,M,50.0,June,2002 June,False
3414,2002.03.03,3/3/2002,2002,,NEW CALEDONIA,M,44.0,March,2002 March,False
3415,2001.09.07.b,9/7/2001,2001,Unprovoked,USA,M,13.0,September,2001 September,False
3416,2001.08.31,8/31/2001,2001,Unprovoked,BAHAMAS,M,44.0,August,2001 August,False
3417,2001.08.26,8/26/2001,2001,Unprovoked,USA,M,18.0,August,2001 August,False
3418,2000.10.06.a,10/6/2000,2000,Unprovoked,USA,M,11.0,October,2000 October,False
3419,2000.07.22,7/22/2000,2000,Unprovoked,USA,F,45.0,July,2000 July,False
3420,2000.01.05,1/5/2000,2000,Unprovoked,THAILAND,M,35.0,January,2000 January,True
3421,1999.09.16,9/16/1999,1999,Unprovoked,USA,F,61.0,September,1999 September,False
3422,1999.04.11,4/11/1999,1999,Unprovoked,REUNION,M,52.0,April,1999 April,True
3423,1999.02.26.R,2/26/1999,1999,,USA,,,February,1999 February,False
