,Case Number,Date,Year,Type,Country,Sex,Age,Month,Year Month,Fatal==True,Median Sea Level,Case Number Count
838,1976.09.06,9/6/1976,1976,Unprovoked,USA,M,15.0,September,1976 September,False,0.6,3
839,1975.11.02,11/2/1975,1975,Unprovoked,USA,M,18.0,November,1975 November,False,0.35,1
840,1973.01.09,1/9/1973,1973,Unprovoked,USA,M,,January,1973 January,False,1.28,1
841,1968.02.26,2/26/1968,1968,Unprovoked,USA,M,17.0,February,1968 February,False,0.32,1
842,1967.12.14,12/14/1967,1967,Provoked,USA,M,,December,1967 December,False,0.41,1
843,1964.01.11,1/11/1964,1964,Unprovoked,USA,M,21.0,January,1964 January,False,-0.17,1
844,1962.06.10.a,6/10/1962,1962,Unprovoked,USA,M,13.0,June,1962 June,False,-0.9,8
845,1962.06.11.b,6/11/1962,1962,Unprovoked,USA,M,32.0,June,1962 June,True,-0.9,8
846,1962.06.11.b,6/11/1962,1962,Unprovoked,USA,M,31.0,June,1962 June,False,-0.9,8
847,1962.06.04,6/4/1962,1962,Provoked,USA,M,55.0,June,1962 June,False,-0.9,8
848,1962.06.03,6/3/1962,1962,Unprovoked,USA,M,31.0,June,1962 June,False,-0.9,8
849,1962.06.25,6/25/1962,1962,,USA,M,,June,1962 June,False,-0.9,8
850,1962.06.11.a,6/11/1962,1962,Unprovoked,USA,M,35.0,June,1962 June,True,-0.9,8
851,1962.06.17,6/17/1962,1962,Unprovoked,USA,M,11.0,June,1962 June,False,-0.9,8
852,1961.00.00.a,1/1/1961,1961,,USA,,,January,1961 January,True,0.16,1
853,2020.11.26,11/26/2020,2020,Unprovoked,USA,F,35.0,November,2020 November,False,1.01,1
854,2019.12.03,12/3/2019,2019,Unprovoked,USA,M,57.0,December,2019 December,False,2.4,2
855,2019.12.21,12/21/2019,2019,Unprovoked,USA,M,37.0,December,2019 December,False,2.4,2
856,2019.08.31.a,8/31/2019,2019,Unprovoked,USA,M,65.0,August,2019 August,False,1.36,11
857,2019.08.27,8/27/2019,2019,Provoked,USA,M,40.0,August,2019 August,False,1.36,11
858,2019.08.20,8/20/2019,2019,Unprovoked,USA,F,26.0,August,2019 August,False,1.36,11
859,2019.08.03.a,8/3/2019,2019,Unprovoked,USA,M,37.0,August,2019 August,False,1.36,11
860,2019.08.16.a,8/16/2019,2019,Unprovoked,USA,M,9.0,August,2019 August,False,1.36,11
861,2019.08.04,8/4/2019,2019,Unprovoked,USA,M,51.0,August,2019 August,False,1.36,11
862,2019.08.03.c,8/3/2019,2019,Unprovoked,USA,F,21.0,August,2019 August,False,1.36,11
863,2019.08.03.b,8/3/2019,2019,Unprovoked,USA,M,20.0,August,2019 August,False,1.36,11
864,2019.08.31.b,8/31/2019,2019,Unprovoked,USA,M,70.0,August,2019 August,False,1.36,11
865,2019.08.11,8/11/2019,2019,Unprovoked,USA,M,16.0,August,2019 August,False,1.36,11
866,2019.08.21,8/21/2019,2019,Unprovoked,USA,M,11.0,August,2019 August,False,1.36,11
867,2019.07.30.a,7/30/2019,2019,Provoked,USA,M,,July,2019 July,False,1.69,9
868,2019.07.27.b,7/27/2019,2019,Unprovoked,USA,M,49.0,July,2019 July,False,1.69,9
869,2019.07.16,7/16/2019,2019,Unprovoked,USA,F,,July,2019 July,False,1.69,9
870,2019.07.12,7/12/2019,2019,Unprovoked,USA,F,16.0,July,2019 July,False,1.69,9
871,2019.07.22,7/22/2019,2019,Unprovoked,USA,M,18.0,July,2019 July,False,1.69,9
872,2019.07.29.b,7/29/2019,2019,Unprovoked,USA,M,49.0,July,2019 July,False,1.69,9
873,2019.07.27.a,7/27/2019,2019,Unprovoked,USA,M,23.0,July,2019 July,False,1.69,9
874,2019.07.18,7/18/2019,2019,,USA,,,July,2019 July,False,1.69,9
875,2019.07.29,7/29/2019,2019,Unprovoked,USA,M,18.0,July,2019 July,False,1.69,9
876,2019.02.02.a,2/2/2019,2019,Unprovoked,USA,M,50.0,February,2019 February,False,0.97,2
877,2019.02.04.b,2/4/2019,2019,Unprovoked,USA,M,,February,2019 February,False,0.97,2
878,2006.01.04,1/4/2006,2006,Unprovoked,USA,M,21.0,January,2006 January,False,1.6,2
879,2006.01.18,1/18/2006,2006,Unprovoked,USA,M,,January,2006 January,False,1.6,2
880,2005.11.02.a,11/2/2005,2005,Unprovoked,USA,M,26.0,November,2005 November,False,-0.39,7
881,2005.11.21,11/21/2005,2005,Unprovoked,USA,M,35.0,November,2005 November,False,-0.39,7
882,2005.11.12,11/12/2005,2005,Unprovoked,USA,M,18.0,November,2005 November,False,-0.39,7
883,2005.11.27,11/27/2005,2005,Unprovoked,USA,M,23.0,November,2005 November,False,-0.39,7
884,2005.11.02.b,11/2/2005,2005,Unprovoked,USA,M,25.0,November,2005 November,False,-0.39,7
885,2005.11.20,11/20/2005,2005,Unprovoked,USA,M,17.0,November,2005 November,False,-0.39,7
886,2005.11.29.R,11/29/2005,2005,Unprovoked,USA,M,15.0,November,2005 November,False,-0.39,7
887,2017.10.26,10/26/2017,2017,Unprovoked,USA,M,,October,2017 October,False,1.53,6
888,2017.10.23.b,10/23/2017,2017,Unprovoked,USA,M,17.0,October,2017 October,False,1.53,6
889,2017.10.23.a,10/23/2017,2017,Unprovoked,USA,F,60.0,October,2017 October,False,1.53,6
890,2017.10.05,10/5/2017,2017,Unprovoked,USA,F,40.0,October,2017 October,False,1.53,6
891,2017.10.18,10/18/2017,2017,Unprovoked,USA,M,,October,2017 October,False,1.53,6
892,2017.10.09,10/9/2017,2017,Unprovoked,USA,M,54.0,October,2017 October,False,1.53,6
893,2017.01.05,1/5/2017,2017,Unprovoked,USA,M,47.0,January,2017 January,False,1.6,3
894,2017.01.22,1/22/2017,2017,Unprovoked,USA,M,15.0,January,2017 January,False,1.6,3
895,2017.01.13.a,1/13/2017,2017,Unprovoked,USA,M,,January,2017 January,False,1.6,3
896,2016.12.11.a,12/11/2016,2016,,USA,M,19.0,December,2016 December,False,0.59,2
897,2016.12.27,12/27/2016,2016,Unprovoked,USA,M,16.0,December,2016 December,False,0.59,2
898,2016.08.25,8/25/2016,2016,Unprovoked,USA,M,49.0,August,2016 August,False,1.56,5
899,2016.08.06,8/6/2016,2016,Unprovoked,USA,M,21.0,August,2016 August,False,1.56,5
900,2016.08.29.a,8/29/2016,2016,Unprovoked,USA,M,37.0,August,2016 August,False,1.56,5
901,2016.08.04,8/4/2016,2016,Unprovoked,USA,M,22.0,August,2016 August,False,1.56,5
902,2016.08.29.b,8/29/2016,2016,Unprovoked,USA,M,25.0,August,2016 August,False,1.56,5
903,2015.08.10,8/10/2015,2015,Provoked,USA,M,57.0,August,2015 August,False,2.37,7
904,2015.08.20,8/20/2015,2015,Unprovoked,USA,M,15.0,August,2015 August,False,2.37,7
905,2015.08.19,8/19/2015,2015,Unprovoked,USA,F,10.0,August,2015 August,False,2.37,7
906,2015.08.29.a,8/29/2015,2015,Unprovoked,USA,M,21.0,August,2015 August,False,2.37,7
907,2015.08.29.b,8/29/2015,2015,Unprovoked,USA,F,54.0,August,2015 August,False,2.37,7
908,2015.08.18.b,8/18/2015,2015,,USA,M,22.0,August,2015 August,False,2.37,7
909,2015.08.22.b,8/22/2015,2015,,USA,M,,August,2015 August,False,2.37,7
910,2015.03.18,3/18/2015,2015,Unprovoked,USA,M,58.0,March,2015 March,False,0.23,1
911,2012.07.24,7/24/2012,2012,,USA,M,12.0,July,2012 July,False,1.28,7
912,2012.07.31.b,7/31/2012,2012,Unprovoked,USA,M,17.0,July,2012 July,False,1.28,7
913,2012.07.30.b,7/30/2012,2012,Unprovoked,USA,M,44.0,July,2012 July,False,1.28,7
914,2012.07.08,7/8/2012,2012,Unprovoked,USA,F,43.0,July,2012 July,False,1.28,7
915,2012.07.30.a,7/30/2012,2012,Unprovoked,USA,M,50.0,July,2012 July,False,1.28,7
916,2012.07.07.a,7/7/2012,2012,,USA,M,52.0,July,2012 July,False,1.28,7
917,2012.07.19,7/19/2012,2012,,CANADA,F,23.0,July,2012 July,False,1.28,7
918,2011.10.20,10/20/2011,2011,Unprovoked,USA,M,41.0,October,2011 October,False,0.43,6
919,2011.10.01,10/1/2011,2011,Unprovoked,USA,M,29.0,October,2011 October,False,0.43,6
920,2011.10.02,10/2/2011,2011,Unprovoked,USA,M,,October,2011 October,False,0.43,6
921,2011.10.29.,10/29/2011,2011,Unprovoked,USA,M,27.0,October,2011 October,False,0.43,6
922,2011.10.11,10/11/2011,2011,Unprovoked,USA,M,,October,2011 October,False,0.43,6
923,2011.10.10,10/10/2011,2011,Unprovoked,USA,M,,October,2011 October,False,0.43,6
924,2011.04.26,4/26/2011,2011,Unprovoked,USA,M,32.0,April,2011 April,False,1.1,2
925,2011.04.22,4/22/2011,2011,Unprovoked,USA,M,49.0,April,2011 April,False,1.1,2
926,2010.07.23,7/23/2010,2010,Unprovoked,USA,M,20.0,July,2010 July,False,0.05,10
927,2010.07.25,7/25/2010,2010,Unprovoked,USA,M,16.0,July,2010 July,False,0.05,10
928,2010.07.11,7/11/2010,2010,Provoked,USA,M,,July,2010 July,False,0.05,10
929,2010.07.19,7/19/2010,2010,Unprovoked,USA,M,10.0,July,2010 July,False,0.05,10
930,2010.07.02.b,7/2/2010,2010,Unprovoked,USA,M,19.0,July,2010 July,False,0.05,10
931,2010.07.02.a,7/2/2010,2010,Unprovoked,USA,M,48.0,July,2010 July,False,0.05,10
932,2010.07.16.a,7/16/2010,2010,Unprovoked,USA,M,,July,2010 July,False,0.05,10
933,2010.07.17.a,7/17/2010,2010,Unprovoked,USA,M,55.0,July,2010 July,False,0.05,10
934,2010.07.03,7/3/2010,2010,Provoked,USA,M,20.0,July,2010 July,False,0.05,10
935,2010.07.17.b,7/17/2010,2010,Unprovoked,USA,F,13.0,July,2010 July,False,0.05,10
936,2007.09.04,9/4/2007,2007,Unprovoked,USA,M,15.0,September,2007 September,False,-0.53,13
937,2007.09.27.b,9/27/2007,2007,Unprovoked,USA,F,,September,2007 September,False,-0.53,13
938,2007.09.30.c,9/30/2007,2007,Unprovoked,USA,M,,September,2007 September,False,-0.53,13
939,2007.09.20,9/20/2007,2007,Unprovoked,USA,M,23.0,September,2007 September,False,-0.53,13
940,2007.09.08,9/8/2007,2007,Unprovoked,USA,F,58.0,September,2007 September,False,-0.53,13
941,2007.09.16.b,9/16/2007,2007,Unprovoked,USA,M,56.0,September,2007 September,False,-0.53,13
942,2007.09.05,9/5/2007,2007,Unprovoked,USA,F,36.0,September,2007 September,False,-0.53,13
943,2007.09.22.b,9/22/2007,2007,,USA,F,,September,2007 September,False,-0.53,13
944,2007.09.22.a,9/22/2007,2007,Unprovoked,USA,F,,September,2007 September,False,-0.53,13
945,2007.09.16.a,9/16/2007,2007,Unprovoked,USA,F,15.0,September,2007 September,False,-0.53,13
946,2007.09.13,9/13/2007,2007,Unprovoked,USA,M,14.0,September,2007 September,False,-0.53,13
947,2007.09.03.b,9/3/2007,2007,Unprovoked,USA,F,12.0,September,2007 September,False,-0.53,13
948,2007.09.03.a,9/3/2007,2007,Unprovoked,USA,M,58.0,September,2007 September,False,-0.53,13
949,2006.06.30.a,7/1/2006,2006,Unprovoked,USA,M,35.0,July,2006 July,False,0.41,14
950,2006.07.31.R,7/31/2006,2006,Provoked,USA,,,July,2006 July,False,0.41,14
951,2006.07.25,7/25/2006,2006,Unprovoked,USA,M,14.0,July,2006 July,False,0.41,14
952,2006.07.09.b,7/9/2006,2006,Unprovoked,USA,M,40.0,July,2006 July,False,0.41,14
953,2006.07.29.b,7/29/2006,2006,,USA,M,,July,2006 July,False,0.41,14
954,2006.07.23,7/23/2006,2006,Unprovoked,USA,M,,July,2006 July,False,0.41,14
955,2006.07.17,7/17/2006,2006,Unprovoked,USA,M,49.0,July,2006 July,False,0.41,14
956,2006.07.29.a,7/29/2006,2006,Unprovoked,USA,M,15.0,July,2006 July,False,0.41,14
957,2006.07.12,7/12/2006,2006,Unprovoked,USA,F,21.0,July,2006 July,False,0.41,14
958,2006.07.08.a,7/8/2006,2006,Unprovoked,USA,M,13.0,July,2006 July,False,0.41,14
959,2006.07.09.a,7/9/2006,2006,Unprovoked,USA,M,11.0,July,2006 July,False,0.41,14
960,2006.06.30.b,7/1/2006,2006,Unprovoked,USA,F,28.0,July,2006 July,False,0.41,14
961,2006.07.31.a,7/31/2006,2006,Unprovoked,USA,M,41.0,July,2006 July,False,0.41,14
962,2006.07.08.b,7/8/2006,2006,Unprovoked,USA,F,14.0,July,2006 July,False,0.41,14
963,2006.03.23,3/23/2006,2006,Unprovoked,USA,F,28.0,March,2006 March,False,0.77,1
964,2005.09.22,9/22/2005,2005,,USA,M,,September,2005 September,False,-0.41,5
965,2005.09.20,9/20/2005,2005,Unprovoked,USA,F,68.0,September,2005 September,False,-0.41,5
966,2005.09.11,9/11/2005,2005,Unprovoked,USA,M,18.0,September,2005 September,True,-0.41,5
967,2005.09.02.b,9/2/2005,2005,Unprovoked,USA,M,62.0,September,2005 September,False,-0.41,5
968,2005.09.05,9/5/2005,2005,Unprovoked,USA,F,18.0,September,2005 September,False,-0.41,5
969,2002.08.11,8/11/2002,2002,Unprovoked,USA,M,15.0,August,2002 August,False,-0.01,6
970,2002.08.05,8/5/2002,2002,Unprovoked,USA,M,14.0,August,2002 August,False,-0.01,6
971,2002.08.07,8/7/2002,2002,Unprovoked,USA,M,15.0,August,2002 August,False,-0.01,6
972,2002.08.17,8/17/2002,2002,Unprovoked,USA,F,29.0,August,2002 August,False,-0.01,6
973,2002.08.14,8/14/2002,2002,Unprovoked,USA,M,27.0,August,2002 August,False,-0.01,6
974,2002.08.28,8/28/2002,2002,Unprovoked,USA,M,16.0,August,2002 August,False,-0.01,6
975,2002.07.20,7/20/2002,2002,Unprovoked,USA,F,15.0,July,2002 July,False,0.57,5
976,2002.07.04,7/4/2002,2002,Unprovoked,USA,F,9.0,July,2002 July,False,0.57,5
977,2002.07.10,7/10/2002,2002,Provoked,USA,M,19.0,July,2002 July,False,0.57,5
978,2002.07.26,7/26/2002,2002,Unprovoked,USA,M,13.0,July,2002 July,False,0.57,5
979,2002.07.09.b,7/9/2002,2002,Provoked,USA,M,41.0,July,2002 July,True,0.57,5
980,2002.03.25.b,3/25/2002,2002,Unprovoked,USA,M,17.0,March,2002 March,False,-0.95,5
981,2002.03.19,3/19/2002,2002,Unprovoked,USA,M,20.0,March,2002 March,False,-0.95,5
982,2002.03.15.b,3/15/2002,2002,Unprovoked,USA,M,39.0,March,2002 March,False,-0.95,5
983,2002.03.25.a,3/25/2002,2002,Unprovoked,USA,F,11.0,March,2002 March,False,-0.95,5
984,2002.03.15.a,3/15/2002,2002,Unprovoked,USA,M,31.0,March,2002 March,False,-0.95,5
985,2001.07.15.a,7/15/2001,2001,Unprovoked,USA,M,18.0,July,2001 July,False,-0.3,9
986,2001.07.03,7/3/2001,2001,Unprovoked,USA,,,July,2001 July,False,-0.3,9
987,2001.07.00,7/1/2001,2001,Unprovoked,USA,M,35.0,July,2001 July,False,-0.3,9
988,2001.07.25,7/25/2001,2001,Unprovoked,USA,M,,July,2001 July,False,-0.3,9
989,2001.07.15.b,7/15/2001,2001,Unprovoked,USA,M,48.0,July,2001 July,False,-0.3,9
990,2001.07.21,7/21/2001,2001,,USA,,,July,2001 July,False,-0.3,9
991,2001.07.06.a,7/6/2001,2001,Unprovoked,USA,M,8.0,July,2001 July,False,-0.3,9
992,2001.07.26,7/26/2001,2001,Unprovoked,USA,F,,July,2001 July,False,-0.3,9
993,2001.07.24,7/24/2001,2001,Unprovoked,USA,F,,July,2001 July,False,-0.3,9
994,2000.03.31,3/31/2000,2000,Unprovoked,USA,M,,March,2000 March,False,0.0,4
995,2000.03.24,3/24/2000,2000,Unprovoked,USA,M,37.0,March,2000 March,False,0.0,4
996,2000.03.00,3/1/2000,2000,Unprovoked,USA,M,39.0,March,2000 March,False,0.0,4
997,2000.03.26,3/26/2000,2000,Unprovoked,USA,F,14.0,March,2000 March,False,0.0,4
998,1998.00.00.a,1/1/1998,1998,Unprovoked,USA,M,,January,1998 January,False,3.13,1
999,1997.11.05.R,11/5/1997,1997,Unprovoked,USA,M,32.0,November,1997 November,False,1.52,1
1000,1997.05.31.a,5/31/1997,1997,Unprovoked,USA,M,12.0,May,1997 May,False,1.51,3
1001,1997.05.31.b,5/31/1997,1997,Unprovoked,USA,M,34.0,May,1997 May,False,1.51,3
1002,1997.05.31.c,5/31/1997,1997,Unprovoked,USA,M,35.0,May,1997 May,False,1.51,3
1003,1995.10.28.R,10/28/1995,1995,Unprovoked,USA,M,13.0,October,1995 October,False,0.4,3
1004,1995.10.21,10/21/1995,1995,Unprovoked,USA,M,17.0,October,1995 October,False,0.4,3
1005,1995.10.01,10/1/1995,1995,Unprovoked,USA,M,39.0,October,1995 October,False,0.4,3
1006,1994.03.07,3/7/1994,1994,Provoked,USA,M,33.0,March,1994 March,False,0.15,1
1007,1991.05.26,5/26/1991,1991,Unprovoked,USA,M,23.0,May,1991 May,False,0.14,1
1008,1987.05.25,5/25/1987,1987,Unprovoked,USA,M,12.0,May,1987 May,False,0.2,2
1009,1987.05.08,5/8/1987,1987,Unprovoked,USA,M,,May,1987 May,False,0.2,2
1010,1985.11.03,11/3/1985,1985,Provoked,USA,M,24.0,November,1985 November,False,-0.33,2
1011,1985.11.05,11/5/1985,1985,,USA,,,November,1985 November,False,-0.33,2
1012,1980.07.27,7/27/1980,1980,Unprovoked,USA,M,15.0,July,1980 July,False,-0.47,2
1013,1980.07.23,7/23/1980,1980,Unprovoked,USA,F,22.0,July,1980 July,False,-0.47,2
1014,1979.05.27,5/27/1979,1979,,USA,M,36.0,May,1979 May,False,-0.47,1
1015,1975.12.06,12/6/1975,1975,Unprovoked,USA,M,27.0,December,1975 December,False,-0.11,1
1016,1974.08.05,8/5/1974,1974,Unprovoked,USA,M,,August,1974 August,False,-0.14,1
1017,1973.12.18,12/18/1973,1973,Unprovoked,USA,M,,December,1973 December,False,0.29,1
1018,1972.08.17,8/17/1972,1972,Unprovoked,USA,M,,August,1972 August,False,0.89,2
1019,1972.08.29,8/29/1972,1972,Unprovoked,USA,M,15.0,August,1972 August,False,0.89,2
1020,1972.06.10,6/10/1972,1972,Unprovoked,USA,M,22.0,June,1972 June,False,1.29,1
1021,1968.07.16,7/16/1968,1968,Unprovoked,USA,M,33.0,July,1968 July,False,-0.22,3
1022,1968.07.27,7/27/1968,1968,Unprovoked,USA,M,25.0,July,1968 July,False,-0.22,3
1023,1968.07.23,7/23/1968,1968,Unprovoked,USA,M,33.0,July,1968 July,False,-0.22,3
1024,1968.00.00.b,1/1/1968,1968,,USA,,,January,1968 January,False,-0.02,2
1025,1968.00.00.a,1/1/1968,1968,,USA,,,January,1968 January,False,-0.02,2
1026,1967.09.20,9/20/1967,1967,,USA,M,,September,1967 September,False,0.13,2
1027,1967.09.07.a,9/7/1967,1967,Unprovoked,USA,,,September,1967 September,False,0.13,2
1028,1967.08.07,8/7/1967,1967,Unprovoked,USA,M,15.0,August,1967 August,False,-0.19,2
1029,1967.08.27,8/27/1967,1967,Provoked,USA,M,24.0,August,1967 August,False,-0.19,2
1030,1966.09.19,9/19/1966,1966,Provoked,USA,M,20.0,September,1966 September,False,-0.31,2
1031,1966.09.08.b,9/8/1966,1966,Provoked,USA,M,14.0,September,1966 September,False,-0.31,2
1032,1966.01.22,1/22/1966,1966,Unprovoked,USA,M,29.0,January,1966 January,False,0.45,2
1033,1966.01.05,1/5/1966,1966,Unprovoked,USA,M,35.0,January,1966 January,False,0.45,2
1034,1965.04.25,4/25/1965,1965,,USA,M,19.0,April,1965 April,False,-0.3,4
1035,1965.04.04.a,4/4/1965,1965,Unprovoked,USA,M,17.0,April,1965 April,False,-0.3,4
1036,1965.04.29,4/29/1965,1965,Unprovoked,USA,M,49.0,April,1965 April,False,-0.3,4
1037,1965.04.10,4/10/1965,1965,Unprovoked,USA,M,28.0,April,1965 April,False,-0.3,4
1038,1964.03.05,3/5/1964,1964,Unprovoked,USA,M,38.0,March,1964 March,False,-1.11,1
1039,1963.05.18,5/18/1963,1963,,USA,M,,May,1963 May,False,-1.38,1
1040,1963.02.04,2/4/1963,1963,,USA,M,,February,1963 February,False,-1.0,1
1041,1961.09.26,9/26/1961,1961,Provoked,USA,M,16.0,September,1961 September,False,-0.72,1
1042,1961.06.24,6/24/1961,1961,Unprovoked,USA,M,23.0,June,1961 June,True,-0.28,3
1043,1961.06.18,6/18/1961,1961,Unprovoked,USA,M,25.0,June,1961 June,False,-0.28,3
1044,1961.06.06.R,6/6/1961,1961,,USA,M,,June,1961 June,False,-0.28,3
1045,2020.09.20,9/20/2020,2020,Unprovoked,USA,M,30.0,September,2020 September,False,1.7,9
1046,2020.09.08,9/8/2020,2020,,USA,M,54.0,September,2020 September,False,1.7,9
1047,2020.09.15.b,9/15/2020,2020,Unprovoked,USA,M,15.0,September,2020 September,False,1.7,9
1048,2020.09.21,9/21/2020,2020,,USA,F,61.0,September,2020 September,False,1.7,9
1049,2020.09.02.R,9/2/2020,2020,Unprovoked,USA,M,,September,2020 September,False,1.7,9
1050,2020.09.29,9/29/2020,2020,Provoked,USA,M,,September,2020 September,False,1.7,9
1051,2020.09.16,9/16/2020,2020,,USA,M,48.0,September,2020 September,False,1.7,9
1052,2020.09.15.a,9/15/2020,2020,Unprovoked,USA,M,25.0,September,2020 September,False,1.7,9
1053,2020.09.06,9/6/2020,2020,Unprovoked,USA,F,70.0,September,2020 September,False,1.7,9
1054,2020.05.09,5/9/2020,2020,Unprovoked,USA,M,26.0,May,2020 May,True,2.57,2
1055,2020.05.01,5/1/2020,2020,Unprovoked,USA,F,57.0,May,2020 May,False,2.57,2
1056,2020.02.05,2/5/2020,2020,Unprovoked,USA,M,,February,2020 February,False,0.97,1
1057,2017.03.27,3/27/2017,2017,Unprovoked,USA,M,58.0,March,2017 March,False,1.14,2
1058,2017.03.18,3/18/2017,2017,,USA,M,,March,2017 March,False,1.14,2
1059,2016.01.23,1/23/2016,2016,Unprovoked,USA,M,48.0,January,2016 January,False,2.01,4
1060,2016.01.25,1/25/2016,2016,Unprovoked,USA,F,15.0,January,2016 January,False,2.01,4
1061,2016.01.28,1/28/2016,2016,Unprovoked,USA,M,,January,2016 January,False,2.01,4
1062,2016.01.24.b,1/24/2016,2016,Unprovoked,USA,M,,January,2016 January,False,2.01,4
1063,2014.11.17,11/17/2014,2014,,USA,,,November,2014 November,False,0.6,4
1064,2014.11.16,11/16/2014,2014,Unprovoked,USA,M,44.0,November,2014 November,False,0.6,4
1065,2014.11.08,11/8/2014,2014,Unprovoked,USA,M,18.0,November,2014 November,False,0.6,4
1066,2014.11.13,11/13/2014,2014,Unprovoked,USA,M,53.0,November,2014 November,False,0.6,4
1067,2014.08.27.b,8/27/2014,2014,Unprovoked,USA,M,29.0,August,2014 August,False,2.2,16
1068,2014.08.29.b,8/29/2014,2014,Unprovoked,USA,M,17.0,August,2014 August,False,2.2,16
1069,2014.08.09,8/9/2014,2014,Unprovoked,USA,F,10.0,August,2014 August,False,2.2,16
1070,2014.08.28,8/28/2014,2014,Provoked,USA,M,33.0,August,2014 August,False,2.2,16
1071,2014.08.25,8/25/2014,2014,Provoked,USA,M,,August,2014 August,False,2.2,16
1072,2014.08.10,8/10/2014,2014,Unprovoked,USA,M,26.0,August,2014 August,False,2.2,16
1073,2014.08.27.a,8/27/2014,2014,Unprovoked,USA,F,,August,2014 August,False,2.2,16
1074,2014.08.02,8/2/2014,2014,Unprovoked,USA,M,8.0,August,2014 August,False,2.2,16
1075,2014.08.24,8/24/2014,2014,Unprovoked,USA,,,August,2014 August,False,2.2,16
1076,2014.08.06,8/6/2014,2014,Unprovoked,USA,M,10.0,August,2014 August,False,2.2,16
1077,2014.08.08,8/8/2014,2014,Unprovoked,USA,M,7.0,August,2014 August,False,2.2,16
1078,2014.08.31,8/31/2014,2014,Unprovoked,USA,F,13.0,August,2014 August,False,2.2,16
1079,2014.08.12,8/12/2014,2014,Unprovoked,USA,M,,August,2014 August,False,2.2,16
1080,2014.08.29.a,8/29/2014,2014,,USA,,,August,2014 August,False,2.2,16
1081,2014.08.05,8/5/2014,2014,Unprovoked,USA,F,45.0,August,2014 August,False,2.2,16
1082,2014.08.02,8/2/2014,2014,Unprovoked,USA,M,55.0,August,2014 August,False,2.2,16
1083,2013.02.10,2/10/2013,2013,Unprovoked,USA,M,16.0,February,2013 February,False,-0.12,3
1084,2013.02.21.a,2/21/2013,2013,Unprovoked,USA,M,,February,2013 February,False,-0.12,3
1085,2013.02.21.b,2/21/2013,2013,Unprovoked,USA,,,February,2013 February,False,-0.12,3
1086,2013.01.16,1/16/2013,2013,Unprovoked,USA,M,43.0,January,2013 January,False,-0.69,1
1087,2012.09.25,9/25/2012,2012,Unprovoked,USA,M,21.0,September,2012 September,False,0.12,12
1088,2012.09.24,9/24/2012,2012,Unprovoked,USA,M,22.0,September,2012 September,False,0.12,12
1089,2012.09.02.b,9/2/2012,2012,Provoked,USA,,,September,2012 September,False,0.12,12
1090,2012.09.08.a,9/8/2012,2012,Unprovoked,USA,M,,September,2012 September,False,0.12,12
1091,2012.09.02.b,9/2/2012,2012,Unprovoked,USA,F,8.0,September,2012 September,False,0.12,12
1092,2012.09.16,9/16/2012,2012,Unprovoked,USA,M,52.0,September,2012 September,False,0.12,12
1093,2012.09.06.a,9/6/2012,2012,Unprovoked,USA,M,37.0,September,2012 September,False,0.12,12
1094,2012.09.06.b,9/6/2012,2012,Unprovoked,USA,M,35.0,September,2012 September,False,0.12,12
1095,2012.09.09,9/9/2012,2012,Unprovoked,USA,,19.0,September,2012 September,False,0.12,12
1096,2012.09.08.b,9/8/2012,2012,Unprovoked,USA,M,25.0,September,2012 September,False,0.12,12
1097,2012.09.04,9/4/2012,2012,Unprovoked,USA,M,32.0,September,2012 September,False,0.12,12
1098,2012.09.02.a,9/2/2012,2012,Unprovoked,USA,F,56.0,September,2012 September,False,0.12,12
1099,2012.01.27,1/27/2012,2012,Unprovoked,USA,,,January,2012 January,False,0.27,2
1100,2012.01.13,1/13/2012,2012,Unprovoked,USA,M,53.0,January,2012 January,False,0.27,2
1101,2011.09.02,9/2/2011,2011,Unprovoked,USA,M,19.0,September,2011 September,False,0.69,8
1102,2011.09.24.a,9/24/2011,2011,Unprovoked,USA,M,5.0,September,2011 September,False,0.69,8
1103,2011.09.30,9/30/2011,2011,,USA,M,27.0,September,2011 September,False,0.69,8
1104,2011.09.11.b,9/11/2011,2011,Unprovoked,USA,M,37.0,September,2011 September,False,0.69,8
1105,2011.09.04.b,9/4/2011,2011,Unprovoked,USA,,,September,2011 September,False,0.69,8
1106,2011.09.20,9/20/2011,2011,,USA,M,,September,2011 September,False,0.69,8
1107,2011.09.24.b,9/24/2011,2011,Unprovoked,USA,M,21.0,September,2011 September,False,0.69,8
1108,2011.09.16,9/16/2011,2011,Unprovoked,USA,M,25.0,September,2011 September,False,0.69,8
1109,2011.05.25,5/25/2011,2011,Unprovoked,USA,F,,May,2011 May,False,1.8,6
1110,2011.05.30,5/30/2011,2011,Unprovoked,USA,F,22.0,May,2011 May,False,1.8,6
1111,2011.05.10,5/10/2011,2011,Provoked,USA,M,,May,2011 May,False,1.8,6
1112,2011.05.13.b,5/13/2011,2011,Unprovoked,USA,M,86.0,May,2011 May,False,1.8,6
1113,2011.05.22,5/22/2011,2011,Unprovoked,USA,F,,May,2011 May,False,1.8,6
1114,2011.05.13.a,5/13/2011,2011,Unprovoked,USA,M,37.0,May,2011 May,False,1.8,6
1115,2010.12.26,12/26/2010,2010,Unprovoked,USA,M,16.0,December,2010 December,False,1.63,2
1116,2010.12.11,12/11/2010,2010,Unprovoked,USA,M,46.0,December,2010 December,False,1.63,2
