,Case Number,Date,Year,Type,Country,Sex,Age,Month,Year Month,Fatal==True,Median Sea Level,Case Number Count
134,2014.05.13,5/13/2014,2014,Unprovoked,USA,F,44.0,May,2014 May,False,2.37,6
135,2014.05.10.R,5/10/2014,2014,,USA,M,,May,2014 May,False,2.37,6
136,2014.05.11,5/11/2014,2014,Unprovoked,USA,M,12.0,May,2014 May,False,2.37,6
137,2014.05.15,5/15/2014,2014,Unprovoked,USA,F,38.0,May,2014 May,False,2.37,6
138,2014.05.01,5/1/2014,2014,Unprovoked,USA,M,23.0,May,2014 May,False,2.37,6
139,2014.04.22,4/22/2014,2014,Unprovoked,USA,M,42.0,April,2014 April,False,1.4,4
140,2014.04.15,4/15/2014,2014,Unprovoked,USA,M,25.0,April,2014 April,False,1.4,4
141,2014.04.04.b,4/4/2014,2014,Unprovoked,USA,M,15.0,April,2014 April,False,1.4,4
142,2014.04.04.a,4/4/2014,2014,Unprovoked,USA,M,15.0,April,2014 April,False,1.4,4
143,2013.09.01.a,9/1/2013,2013,Unprovoked,USA,M,9.0,September,2013 September,False,2.32,12
144,2013.09.21.a,9/21/2013,2013,Unprovoked,USA,M,,September,2013 September,False,2.32,12
145,2013.09.12,9/12/2013,2013,Unprovoked,USA,F,13.0,September,2013 September,False,2.32,12
146,2013.09.29.b,9/29/2013,2013,Unprovoked,USA,M,50.0,September,2013 September,False,2.32,12
147,2013.09.21.b,9/21/2013,2013,Unprovoked,USA,F,45.0,September,2013 September,False,2.32,12
148,2013.09.08,9/8/2013,2013,Unprovoked,USA,F,,September,2013 September,False,2.32,12
149,2013.09.25,9/25/2013,2013,Unprovoked,USA,M,7.0,September,2013 September,False,2.32,12
150,2013.09.02,9/2/2013,2013,Unprovoked,USA,M,17.0,September,2013 September,False,2.32,12
151,2013.09.07.a,9/7/2013,2013,Unprovoked,USA,M,25.0,September,2013 September,False,2.32,12
152,2013.09.14,9/14/2013,2013,Unprovoked,USA,M,21.0,September,2013 September,False,2.32,12
153,2013.09.01.c,9/1/2013,2013,Provoked,USA,F,3.0,September,2013 September,False,2.32,12
154,2013.09.07.b,9/7/2013,2013,Provoked,USA,M,43.0,September,2013 September,False,2.32,12
155,2013.08.14,8/14/2013,2013,Unprovoked,USA,F,20.0,August,2013 August,True,0.9,9
156,2013.08.05,8/5/2013,2013,Unprovoked,USA,M,17.0,August,2013 August,False,0.9,9
157,2013.08.29,8/29/2013,2013,,USA,F,47.0,August,2013 August,False,0.9,9
158,2013.08.17,8/17/2013,2013,Unprovoked,USA,F,,August,2013 August,False,0.9,9
159,2013.08.18,8/18/2013,2013,Unprovoked,USA,M,16.0,August,2013 August,False,0.9,9
160,2013.08.31.a,8/31/2013,2013,Unprovoked,USA,M,,August,2013 August,False,0.9,9
161,2013.08.25.b,8/25/2013,2013,Unprovoked,USA,F,11.0,August,2013 August,False,0.9,9
162,2013.08.13,8/13/2013,2013,Unprovoked,USA,F,19.0,August,2013 August,False,0.9,9
163,2013.08.11,8/11/2013,2013,Unprovoked,USA,M,10.0,August,2013 August,False,0.9,9
164,2013.07.19,7/19/2013,2013,Unprovoked,USA,F,50.0,July,2013 July,False,1.5,6
165,2013.07.30,7/30/2013,2013,Unprovoked,USA,M,32.0,July,2013 July,False,1.5,6
